id	section	tag	labels	title	observed_gap	requested_outcome	completion_criteria
K-001	CLI behavior and config	DX	Stellar Wave,cli,dx	CLI: add parity checks for global flags across every subcommand	Global flags such as verbosity, output format, and config handling are exercised unevenly across command tests, so regressions can land in less-used subcommands.	Add a focused parity test matrix that invokes every public subcommand with supported global flags and verifies either accepted behavior or a clear unsupported-flag error.	Every documented global flag has coverage across command groups; unsupported combinations fail with actionable messages; README/manpage examples remain accurate.
K-002	CLI behavior and config	DX	Stellar Wave,cli	CLI: report the resolved config file path in verbose mode	Config-driven runs do not consistently show which `.soroban-debug.toml` file was loaded, making workspace-level debugging harder when multiple configs exist.	Show the resolved config path, source precedence, and ignored config locations when verbose logging is enabled.	Verbose output identifies the config source; missing configs remain quiet by default; tests cover explicit and discovered config paths.
K-003	CLI behavior and config	DX	Stellar Wave,cli	CLI: add a config validation command that exits without running a session	Users can discover invalid config only after starting a debug, scenario, or remote command.	Add `soroban-debug config check` or equivalent validation that parses config, validates keys, and reports deprecations.	Valid configs exit 0; unknown keys and type errors include line/field context; docs mention the command near config examples.
K-004	CLI behavior and config	DX	Stellar Wave,cli	CLI: standardize unknown argument suggestions for nested commands	Unknown-flag errors differ between command paths, and some do not suggest the closest supported flag.	Route nested command parsing through a consistent suggestion helper.	Unknown flags produce consistent wording; closest matches are shown when edit distance is useful; tests cover at least three command groups.
K-005	CLI behavior and config	DX	Stellar Wave,cli	CLI: make dry-run output explicit about skipped side effects	Dry-run mode can be mistaken for a real execution because skipped writes, exports, or network calls are not summarized consistently.	Add a dry-run summary listing the operations that would have run and the outputs that were intentionally skipped.	Dry-run summaries are present for affected commands; real runs do not include dry-run wording; docs include one dry-run example.
K-006	CLI behavior and config	DX	Stellar Wave,cli	CLI: add shell-completion regression tests for new subcommands	Generated completions can fall behind when new commands or flags are added.	Add tests that check completion output contains all public command names and selected high-risk flags.	Completion tests fail when public commands are missing; generated manpages and completions stay aligned; CI runs the check.
K-007	CLI behavior and config	DX	Stellar Wave,cli	CLI: normalize exit codes for validation, runtime, and infrastructure failures	Exit codes are not documented as a stable contract, which makes automation around the debugger brittle.	Define and implement an exit-code taxonomy for usage errors, contract failures, transport failures, and internal errors.	Exit code meanings are documented; representative tests assert the mapped codes; existing scripts use the documented values.
K-008	CLI behavior and config	DX	Stellar Wave,cli	CLI: show command examples in error output only when they are directly relevant	Some errors are terse while others risk overwhelming users with generic guidance.	Add targeted remediation hints for common invocation mistakes without adding broad help text to every error.	Common errors include one relevant next step; low-level parser errors remain concise; snapshot tests cover the wording.
K-009	CLI behavior and config	DX	Stellar Wave,cli	CLI: support machine-readable `doctor` output for automation	`doctor` is useful in CI and bug reports, but automation needs structured output instead of terminal text.	Add JSON output for `doctor`, including toolchain, fixture, network, and permission checks.	Schema is documented; tests validate required fields; terminal output remains unchanged by default.
K-010	CLI behavior and config	DX	Stellar Wave,cli	CLI: add a visible deprecation path for renamed flags	When flags are renamed or superseded, users need a warning period rather than sudden breakage.	Add a deprecation registry that maps old flags to replacements and emits warnings before removal.	Deprecated flags warn once per run; replacements are shown; tests cover warning text and eventual hard-fail behavior.
K-011	Output contracts and schemas	DX	Stellar Wave,testing,dx	Output contracts: add golden tests for stable JSON field ordering	JSON consumers benefit from stable examples, but field ordering can drift and make docs/tests noisy.	Introduce golden fixtures for key JSON outputs and normalize the serializer path used by CLI commands.	Golden snapshots cover inspect, analyze, run, and upgrade-check; intentional field changes are easy to review; docs examples match snapshots.
K-012	Output contracts and schemas	DX	Stellar Wave,testing	Output contracts: validate error JSON against a schema	Error responses are part of the automation surface, but schema validation appears focused on successful outputs.	Add a schema and tests for JSON error envelopes.	Error JSON includes code, message, category, and optional context; schema tests cover validation and runtime failures; docs explain the envelope.
